"","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"SOSP",1,1097,25.9,-12.9,64.7,25.9,3,1.4
"VETH",2,843,19.9,-17.4,57.2,45.8,2.9,2.9
"RUHI",3,384,9.1,-9,27.1,54.9,2.6,4.3
"AMSP",4,287,6.8,-2.8,16.4,61.6,2.5,5.8
"COCA",5,254,6,-3.5,15.4,67.6,2.4,7.2
"CHAL",6,183,4.3,-7.2,15.9,71.9,2.3,8.7
"RUCR",7,159,3.8,-4.6,12.1,75.7,2.2,10.1
"OXST",8,124,2.9,1.8,4.1,78.6,2.1,11.6
"MOFI",9,113,2.7,1.6,3.7,81.3,2.1,13
"LIVU",10,89,2.1,-2.2,6.4,83.4,1.9,14.5
"OEBI",11,73,1.7,-5.4,8.8,85.1,1.9,15.9
"PYTE",12,63,1.5,-0.5,3.5,86.6,1.8,17.4
"TRPR",13,59,1.4,-1,3.8,88,1.8,18.8
"DACA",14,50,1.2,-0.7,3,89.2,1.7,20.3
"POAR",15,41,1,-2.7,4.6,90.1,1.6,21.7
"MELU",16,40,0.9,0.1,1.8,91.1,1.6,23.2
"ERAN",17,38,0.9,-1.6,3.3,92,1.6,24.6
"HEGI",18,31,0.7,-1.5,2.9,92.7,1.5,26.1
"TRRE",19,30,0.7,-1.3,2.8,93.4,1.5,27.5
"POOL",20,23,0.5,-0.9,2,94,1.4,29
"PONO",21,23,0.5,-1.8,2.9,94.5,1.4,30.4
"ANGE",22,20,0.5,-1.8,2.8,95,1.3,31.9
"CIXX",23,19,0.4,-0.3,1.2,95.4,1.3,33.3
"MEAR",24,17,0.4,-0.7,1.5,95.8,1.2,34.8
"PLMA",25,17,0.4,-0.2,1,96.2,1.2,36.2
"VEAR",26,17,0.4,-1.8,2.6,96.6,1.2,37.7
"LACO",27,15,0.4,-0.4,1.1,97,1.2,39.1
"SIPE",28,10,0.2,-1,1.4,97.2,1,40.6
"AGAL",29,8,0.2,-0.3,0.7,97.4,0.9,42
"AMAR",30,7,0.2,-0.7,1,97.6,0.8,43.5
"CELO",31,7,0.2,-0.3,0.6,97.7,0.8,44.9
"CIVU",32,6,0.1,0,0.3,97.9,0.8,46.4
"COLA",33,6,0.1,-0.4,0.7,98,0.8,47.8
"MESA",34,6,0.1,-0.2,0.5,98.2,0.8,49.3
"CEFO",35,6,0.1,-0.3,0.6,98.3,0.8,50.7
"VEST",36,6,0.1,0,0.3,98.4,0.8,52.2
"HYPE",37,6,0.1,-0.6,0.9,98.6,0.8,53.6
"HEHE",38,4,0.1,0,0.2,98.7,0.6,55.1
"PAMI",39,4,0.1,-0.2,0.4,98.8,0.6,56.5
"PYVI",40,4,0.1,-0.1,0.3,98.9,0.6,58
"RHTY",41,4,0.1,-0.3,0.4,99,0.6,59.4
"PORE",42,4,0.1,-0.3,0.5,99.1,0.6,60.9
"ABTH",43,3,0.1,-0.3,0.4,99.1,0.5,62.3
"ACRH",44,3,0.1,-0.1,0.3,99.2,0.5,63.8
"OCRI",45,3,0.1,-0.3,0.4,99.3,0.5,65.2
"ECCR",46,2,0,0,0.1,99.3,0.3,66.7
"ERCA",47,2,0,-0.1,0.2,99.4,0.3,68.1
"PAVI",48,2,0,0,0.1,99.4,0.3,69.6
"TAOF",49,2,0,-0.1,0.2,99.5,0.3,71
"PYMU",50,2,0,0,0.1,99.5,0.3,72.5
"MOAL",51,2,0,-0.1,0.2,99.6,0.3,73.9
"PACA",52,2,0,-0.1,0.2,99.6,0.3,75.4
"CISP",53,1,0,0,0.1,99.6,0,76.8
"COTR",54,1,0,0,0.1,99.6,0,78.3
"VISP",55,1,0,0,0.1,99.7,0,79.7
"AGST",56,1,0,-0.1,0.1,99.7,0,81.2
"CIAR",57,1,0,-0.1,0.1,99.7,0,82.6
"DECA",58,1,0,-0.1,0.1,99.7,0,84.1
"SIAL",59,1,0,-0.1,0.1,99.8,0,85.5
"SIAR",60,1,0,-0.1,0.1,99.8,0,87
"SONU",61,1,0,-0.1,0.1,99.8,0,88.4
"FRVE",62,1,0,-0.1,0.2,99.8,0,89.9
"PONE",63,1,0,-0.1,0.2,99.9,0,91.3
"PRVU",64,1,0,-0.1,0.2,99.9,0,92.8
"CIIN",65,1,0,0,0.1,99.9,0,94.2
"HETU",66,1,0,0,0.1,99.9,0,95.7
"PYTI",67,1,0,0,0.1,100,0,97.1
"VEUR",68,1,0,0,0.1,100,0,98.6
"VICR",69,1,0,0,0.1,100,0,100
